Rank,Word,Frequency,English Gloss,Proposed Tone,Verified Tone,Genesis Context
20,vẹ,207,disperse (of a crowd),vẹ,vẹ,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
21,vwo,207,Own  ;  Own   it  =  Vwóró,Vwó,Vwó,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
22,dia,182,menstruate,dia,dia,"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọsháre ọ́vo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ."
23,rhe,181,arrive,rhe,rhe,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
24,otọ,180,ground/down / Ground,ótọ,ótọ,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
25,ejobi,177,,,,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
26,rọ,169,swallow / Swallow  ;  Swallow  it,rọ,rọ,"Odẹ rẹ urhie rerha ki Tigris, rọ djẹ nene obọrhe rẹ Asira. Urhie rẹne ki Yufretis."
27,etiyin,168,,,,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
28,te,155,,,,"Te ọshare na ve ayé rọye da ban phihọ, yẹ oma vo aye-en."
29,ro,144,enter,ro,ro,"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọsháre ọ́vo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ."
30,ọghẹnẹ,139,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
31,ki,139,,,,"Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush."
32,jekọp,139,,,,"Ọke rẹ emọ na vwọ ghwanre re, Isọ kẹ ọgba oruẹ, ohwo rẹ aghwa, Jekọp kẹ ohwo dẹndẹn rọ dia itughẹ."
33,emọ,132,,,,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
34,wẹ,132,you (obj.)  (sing.) / You / you,wẹ,wẹ,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
35,ọsẹ,128,father / Father,ọ́sẹ,ọ́sẹ,"Ham, rẹ ọ́sẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe."
36,wọ,125,,,,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
37,mi,123,squeeze,mi,mi,"Ọghẹnẹ da ta ki Noa, Ọnana kẹ oka rẹ ọphọ na ri mi vwo mu vwẹ uvwre mẹ kugbe uvwo ejobi rọ enu rẹ akpọ na."
38,ọmọ,123,child / Child,ọmọ,ọmọ,"Ebram da ta, Nighe, wọ je kẹ vwẹ ọmọ-ọ, ọviẹn re vwiẹ vwẹ uwevwi mẹ kọye cha re uku mẹ."
39,ọke,122,time / Period  of  time,ọke,ọke,Noa da dia ikpe urí ẹ́rha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.
40,reyọ,120,take,reyọ,reyọ,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
41,ru,117,do/make / Do,ru,ru,Noa de ru ọna; o de ru emú ejobi rẹ Ọghẹnẹ dje kẹ nẹ o ru.
42,se,114,read / read (imp.),se,se,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
43,ihwo,112,,,,"Ọke rẹ ihwo vwọ kua nẹ abọ rẹ ọnre da vacha re, ayen da rhe mrẹ uphephe ọvo vwẹ otọ ri Shinar ayen da dia Etiyin."
44,josẹf,108,,,,"o de se odẹ rọye Josẹf, tanẹ, Je Ọrovwohwo vwẹ ọmọ ọfa vwo ba kẹ vwẹ,"
45,ebraham,104,,,,"E gbi se we Ebram ọfa-a, ẹkẹvuọvo ke se we Ebraham, fikiridie mi ru we vwọ dia ọsẹ rẹ ẹgborho buebu."
46,aye,103,woman / Woman,aje,aje,"Te ọshare na ve ayé rọye da ban phihọ, yẹ oma vo aye-en."
47,kọye,102,,,,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
48,phihọ,100,Add   to  it,Phihọ,Phihọ,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
49,ẹkẹvuọvo,98,But  ;  although,Ẹkẹvuọvo,Ẹkẹvuọvo,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
50,e,97,,,,"Ẹkẹvuọvo wọ ria uvwo vẹ arhọ rọye-e, kọye ọbara rọye."
51,ke,96,give,ke,ke,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
52,ohwo,93,person,oxhwó,oxhwó,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
53,kidie,91,what else,kídié,kídié,"Ohwo ro sun ọbara rẹ ohwo te otọ, ohwo ọfa ji sun ọbara rọye te otọ, kidie Ọghẹnẹ ma ohwo vwẹ uhoho rọye."
54,kpo,91,Go  home / go home,kpo,kpo,Vwẹ ọke nana owẹvwe de rhi fi vwẹ otọ na. Etiyin Ebram de kpo Ijipt ra dia fikiridie owẹvwe na firi gangan vwẹ otọ na.
55,vwiẹ,89,Deliver   e.g.  baby  ;  Bear  a  child,Vwiẹ,Vwiẹ,"Vwọ kẹ ovwan, we vwiẹ ri we bu phihọ, we vwiẹ buebu vwẹ akpọ na ru we bu phihọ."
56,mrẹ,87,see / See,mrẹ,mrẹ,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
57,wo,87,descend,wo,wo,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
58,gbe,86,dance / Dance,gbe,gbe,"Eránvwe ri tete omá, kugbe iri gbe oma, te ephra, te obo ri kpono vwẹ otọ na,"
59,ọrovwohwo,82,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
60,mu,80,carry,mu,mu,"Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwó mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;"
61,oma,80,Body,Oma,Oma,"Te ọshare na ve ayé rọye da ban phihọ, yẹ oma vo aye-en."
62,ra,75,Go   there,Ra,Ra,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
63,avwanre,75,we / us,avwanre,avwanre,"Ebram da ta ki Lọt, E gbi jẹ oseghe dia uvwre wẹ vẹ ọmẹ-ẹ kugbe uvwre rẹ isuigodẹ wẹn vẹ emẹ-ẹ, kidie avwanre iniọvo."
64,odẹ,73,name / Name,Odẹ,Odẹ,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
65,ikpe,72,,,,Noa da dia ikpe urí ẹ́rha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.
66,emu,71,food / Food,emu,emu,Noa de ru emu ejobi rẹ Ọrovwohwo dje kẹ na.
67,fero,70,,,,"Rẹ emọ rẹ ovíé Fero, vwọ mrẹ, ayen de jiro ki Fero. A da reyọ aye na vwo rhe Fero."
68,isọ,70,"excreta, stool, faeces / Excreta",ísọ,ísọ,"Orẹ ẹsosuọ vwo shotọ ọvwara wei, oma rọye ejobi ẹtuẹnto yafu, kọye e de se odẹ rọye Isọ."
69,rayen,69,,,,"Je reyọ obo rẹ unu ria demu doka rọye, ghwẹ ayen koko wọ nabọ sẹro rayen; kọ dia emú kẹ wẹ́ vẹ ayen."
70,we,68,,,,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
71,aizik,66,,,,"Ẹkẹvuọvo Aizik ọye ọphọ mẹ cha sẹ nene, ri Sera che vwiẹ kẹ vwẹ eghẹre ọtiọnana ukpe ọfa."
72,je,64,Admire ;  Like,Je,Je,oro rẹ otọ na pha yoyovwi; bideliọm vẹ oragha rẹ oniks; je otọ na rhe.
73,a,63,,,,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
74,akpọ,63,world / World  ; earth  ;  life,akpọ,akpọ,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
75,rhi,63,be destined,rhi,rhi,"Akpọ́ na de rhi gbeku vwẹ obaro rẹ Ọghẹnẹ, akpọ na ke je vọn vẹ ozighi."
76,ijipt,63,,,,Vwẹ ọke nana owẹvwe de rhi fi vwẹ otọ na. Etiyin Ebram de kpo Ijipt ra dia fikiridie owẹvwe na firi gangan vwẹ otọ na.
77,ji,62,send,ji,ji,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
78,uwevwi,62,house,uwevwi,uwevwi,Ọrovwohwo da vwẹ emiavwe mu Fero kugbe =uwevwi rọye ejobi fiki Serai aye rẹ Ebram.
79,rere,60,"in order to, so that",rere,rere,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
80,cha,60,Coming  e.g. Mẽ   cha = I am  coming.,Cha,Cha,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
81,nana,58,,,,"Odẹ rẹ urhie rivẹ ki Gihọn, urhie nana re djẹ wan ubrotọ ri Kush."
82,ọye,57,"him, her or it",ọ́ye,ọ́ye,"Enana keye uvwiẹ ri Terah. Terah ọye ọsẹ rẹ Ebram, Nahọr kugbe Haran; Haran kọye ọsẹ ri Lọt."
83,oniọvo,57,brother/sister,óniọvo,óniọvo,"ayen ji mu Lọt rhe, ọ́mọ rẹ oniọvo rẹ Ebram, rọ dia Sodọm, vẹ eyenre rọye, ayen de kpo."
84,enana,56,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
85,obo,53,what,obo,obo,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
86,bru,53,,,,"Vwọ kẹ oma wẹn, ku wo rhivwi bru esẹ wẹn ra egberhẹnẹdẹ, ke shi we vẹ uyovwi esha hẹrẹhẹrẹ."
87,asan,51,June,asán,asán,"Ebram de ki otọ na re te asan re se Shikẹm, re te ọhahe ri Morẹh. Vwẹ ọke yena yẹ ihwo ri Kenan ji otọ na."
88,vwe,51,,,,"Nighe, orere rọ oboyi na kẹrobọ ra dje ra, o ke je havwe. Ju vwe djẹ kpo Etiyin - ọ dia ọhahavwe? - erhí mẹ kọ rhọ;"
89,nu,50,,,,Ẹ́dẹ ighwrẹ́ vwọ wan nu oghwe na de rhi ku akpọ na.
90,kpahe,49,about/on,kpahe,kpahe,"Fero da kpokpa kẹ ihwo rọye kpahe Ebram, ayen de suo ro ughere, te aye rọye kugbe ihwo ro vwori ejobi."
91,laban,47,,,,"Rebeka vwo oniọvo re se Laban; Laban da djẹ bru ohwo na, vwẹ obo ogbugbu na."
92,ẹ,46,,,,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
93,obọ,46,hand / Hand,obọ,obọ,"Ebruba kẹ Ọghẹnẹ ro Me Kpenu, rọ reyọ ivwighrẹ wẹn phihọ owẹ obọ. Ebram da vwẹ ẹkẹn ihwe rẹ ekuakua na ejobi kẹ."
94,ovwan,46,,,,"Vwọ kẹ ovwan, we vwiẹ ri we bu phihọ, we vwiẹ buebu vwẹ akpọ na ru we bu phihọ."
95,yanran,46,,,,"Die wọ vwọ tanẹ oníọvo mẹ? rọ da nẹrhẹ ovwẹ reyọ vwo ru aye? Nighe aye wẹn na, reyọ ru wọ yanran."
96,gba,45,tie / Tie,gbá,gbá,"Gba vwẹ urhé ri gofa kare ókọ̀, kare ivun phihọ okọ na, wọ nabọ pharọ te obevun te otafe vẹ orhọrhe."
97,ku,45,pour,ku,ku,Noa da dia ikpe urí ẹ́rha ọghwo te vwẹ ọke rẹ oghwe na vwo ku akpọ na.
98,ẹdẹ,45,day / Day,ẹdẹ,ẹdẹ,"Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,"
99,nene,44,Mother,Nene,Nene,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
100,uvwiẹ,44,generation,uvwiẹ,uvwiẹ,"Nighe, ke Me vẹ owẹ cha re ọphọ kugbe uvwiẹ wẹn rọ cha vwẹ obuko wẹn,"
101,vrẹn,44,,,,"Etiyin Ebram de vrẹn nẹ Ijipt, te ọye vẹ aye rọye, kugbe obo ro vwori ejobi, ọ vẹ Lọt usun, vwo kpo obi Nẹgẹb."
102,fiki,43,,,,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
103,rha,43,Un-tie ; Loosen ; Un-tangle ; Un-do  knot,Rhá,Rhá,"Noa de vwó emeshare ẹ́rha, Shẹm, Ham kugbe Jafet."
104,ọmọtẹ,43,girl / Girl ; Daughter,ọ́mọ́tẹ,ọ́mọ́tẹ,Etiyin ọmọtẹ na da djẹ re gbe ikun rẹ emu nana ejobi kẹ ihwo rẹ uwevwi rẹ oni rọye.
105,kọ,42,Sow ( sow  a  seed ),Kọ,Kọ,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
106,ọvo,42,one,ọvo,ọvo,Asakiephana akpọ na ejobi kẹ ephẹrẹ ọvo kugbe emeta tutuno.
107,evun,41,pregnancy,evun,evun,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
108,yan,41,walk/move / Walk / walk,yan,yan,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
109,ivẹ,41,two,ívẹ,ívẹ,"Shẹm ke rhá rhe dia ro vwo vwiẹ Arpakshad nu ikpe uri ivẹ gbẹ ujori, o de vwiẹ emeshare vẹ emetẹ."
110,gbẹ,40,Clear  weeds  ;  un-weed  with  cutlass,Gbẹ,Gbẹ,"Ọtiọna kọye wo ruo: ugrogro rẹ ókọ̀ na kubit urí gbẹ ujori, ohẹhẹre rọye kubit ujuvẹ gbẹ ihwé, ekodo rọye kubit ọgban."
111,ighwrẹ,40,seven,íghwrẹ́,íghwrẹ́,"kugbe oka rẹ ephra ri obenu na ighwrẹ́ ivivẹ rhe, ọshare vẹ aye, rere ayen vwo jẹ ghwọrọ kakare nẹ enu rẹ akpọ na."
112,djẹ,39,run / Run,djẹ,djẹ,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
113,uchuru,39,Products  of  animal  husbandary   ;,Uchuru,Uchuru,"te ayen kugbe eranvwe keranvwe, deranvwe doka, te uchuru duchuru doka rọye, dọphra doka rọye."
114,enu,38,up/top / Up,énu,énu,"Ọghẹnẹ da mrẹ akpọ na, nighe, o de gbeku; fikiridie uvwo ejobi gbeku tughu vwẹ enu rẹ akpọ na."
115,nighe,38,,,,"Ọghẹnẹ da mrẹ akpọ na, nighe, o de gbeku; fikiridie uvwo ejobi gbeku tughu vwẹ enu rẹ akpọ na."
116,vi,38,,,,"Vwẹ ẹdẹ ọvuọvo na Noa vẹ emọ rọye, Shẹm vi Ham kugbe Jafẹt, aye ri Noa vẹ eya erha rẹ emọ rọye ejobi da ro evun rẹ okọ,"
117,eranvwe,37,animal / meat,eránvwe,eránvwe,"te ayen kugbe eranvwe keranvwe, deranvwe doka, te uchuru duchuru doka rọye, dọphra doka rọye."
118,ame,37,water / Water,ame,ame,Ame na de reghe akpọ na ẹdẹ ujuvẹ gbẹ ihwé.
119,ebram,37,,,,"Ri Terah vwọ dia ikpe ujọ́rha gbẹ ihwe re, ọ da rhe dia ọsẹ rẹ Ebram, Nahọr, kugbe Haran."
120,rachel,37,,,,"Ọ da ta kẹ ayen, Oma rọye dori? Ayen da ta, O dori; nighere, Rachel rẹ ọmọtẹ rọye vẹ igodẹ re gba yan usun cha na;"
121,kenan,36,,,,"Ham, rẹ ọ́sẹ ri Kenan, da mrẹ ẹba rẹ ọsẹ rọye, o de rhi gbe ikun kẹ iniọvo rọye vwẹ otafe."
122,tanẹ,36,,,,"Die wọ vwọ tanẹ oníọvo mẹ? rọ da nẹrhẹ ovwẹ reyọ vwo ru aye? Nighe aye wẹn na, reyọ ru wọ yanran."
123,sa,35,shoot / Shoot,sa,sa,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
124,ko,34,sew / Sew  ( with  a  sewing  machine ),ko,ko,"Kọye Ọrovwohwo Ọghẹnẹ da vwẹ ovwerhe rode vwó mu ohwo na, rọ vwọ vwerhẹ re ọ da reyọ ubiedada rọye ode ko di;"
125,gangan,34,,,,"Amé na de rhi bu gangan o de rhi reghe igbenu ride ejobi ri otọ rẹ akpọ na,"
126,ni,34,look,ni,ni,Ọ da rhoma siobọ nẹ inekuku ro re ni sẹ ame na kpọ nẹ otọ na re;
127,wa,34,pass (examination),wa,wa,"Mẹ́vwẹ ọrharha ro won ovwan, wa kẹ vwẹ otọ vwẹ ọgbẹ rẹ ovwan na, rere mi shi orivwi mẹ phihọ."
128,igodẹ,33,,,,Ebraham da reyọ upene rẹ igodẹ rẹ eya ighwrẹ vwẹ ohri rẹ uchuru rọye na phihọ orhọ.
129,owẹ,32,fishpond,owẹ,owẹ,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
130,evwerhẹ,32,dream,évwérhẹ,évwérhẹ,"O da vwerhẹ evwerhẹ mrẹ ugbaghala ro nẹ otọ re te odjuvwu, o vwo ni emakashe rẹ Ọghẹnẹ ki yere kpotọ kpenu vwọ."
131,yena,31,,,,"Ebram de ki otọ na re te asan re se Shikẹm, re te ọhahe ri Morẹh. Vwẹ ọke yena yẹ ihwo ri Kenan ji otọ na."
132,emetẹ,31,,,,"Shẹm ke rhá rhe dia ro vwo vwiẹ Arpakshad nu ikpe uri ivẹ gbẹ ujori, o de vwiẹ emeshare vẹ emetẹ."
133,eya,31,bet,eyá,eyá,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
134,kemu,31,,,,kemu kemu rọ otọ ọyaya na rọ vwẹ unwe nwẹn ejobi de ghwure.
135,ọtiọye,30,,,,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
136,che,30,,,,"Ọke ro che vwo te otọ rẹ Ijipt re, ọ da ta kẹ Serai rẹ aye rọye, Me riẹnre nẹ wẹ aye vẹ erhuvwu siẹ re de ni we."
137,ọfa,30,another,ọ́fa,ọ́fa,"Ohwo ro sun ọbara rẹ ohwo te otọ, ohwo ọfa ji sun ọbara rọye te otọ, kidie Ọghẹnẹ ma ohwo vwẹ uhoho rọye."
138,idibo,30,,,,"Kọye Abimẹlẹk de vrẹn vwẹ irhiọke ride, o de se idibo rọye, o de gbe ikun nana ejobi kẹ ayen, oshọ de mu ayen gangan."
139,fikiridie,29,,,,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
140,herọ,29,,,,"kugbe eranvwe keranvwe ekpokpọ re vẹ owẹ gba herọ, uche ri nene uwe nẹ evun rẹ okọ na rhe."
141,orere,29,hare,orere,orere,"Kọye Ọrovwohwo da hra ayen nene enu rẹ akpọ na ejobi, ayen gbe bọn orere na ọfa-a."
142,ovie,29,king/traditional ruler,ovie,ovie,"Ọke rẹ Amrafel vwọ ovie ri Shinar, Ariọk ke ovíé re Elasai, Chedor-laomer kẹ ovie rẹ Elam, Tidal kẹ ovie ri Goiim,"
143,nyo,29,hear,nyo,nyo,"Abimẹlẹk da ta, Me riẹn ohwo ro ru emu nana-a; wọ ta kẹ vwẹ jovwo-o, mi ji nyo otá nana rhi te nonẹ na-a."
144,obaro,28,"front, forward",obáro,obáro,"Akpọ́ na de rhi gbeku vwẹ obaro rẹ Ọghẹnẹ, akpọ na ke je vọn vẹ ozighi."
145,ẹrhovwo,28,Prayer,Ẹrhovwo,Ẹrhovwo,"Ọ da nẹ ẹrhovwo kẹ tanẹ, Ebruba kẹ Ebram vwẹ oma rẹ Ọghẹnẹ ro Me Kpenu, rọ ma odjúvwu vẹ akpọ;"
146,rebeka,28,,,,Bẹtuẹl kọye ọsẹ ri Rebeka. Enana ẹrenren na Milkah vwiẹ kẹ Nahọr oniọvo rẹ Ebraham.
147,onini,28,master,onini,onini,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
148,noa,27,,,,"Enana ke ye orua ri Noa. Noa kẹ ọvwata oruẹ, o vwo eka vwẹ orua rọye na-a; Noa da yan kpahọ Ọghẹnẹ."
149,rhoma,27,again,rhoma,rhoma,Ọ da rhoma siobọ nẹ inekuku ro re ni sẹ ame na kpọ nẹ otọ na re;
150,ghwu,27,die / Die,ghwù,ghwù,Ẹdẹ rẹ akpọ ri Noa ejobi da dia ikpe uri ẹ́ne gbẹ ujughwrẹ gbẹ ihwe o de ghwu.
151,si,26,write / Write / write (imp.),si,si,"ame na de si reyọ kọke kọke. Vwẹ oba rẹ ẹdẹ ujori gbẹ ujuvẹ gbẹ ihwé re, ame na da rhe kpọ;"
152,odibo,26,servant,odibo,odibo,Etiyin odibo na de phi obọ phihọ ekpoghowọ rẹ Ebraham rẹ onini rọye o de duvwu iyori fiki rẹ ota nana.
153,jẹn,25,,,,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
154,ọphọ,25,,,,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
